date,pair,side,weight_before,weight_after,weight_delta,turnover,cost
2021-08-17,AAVEUSDT,buy,0.0,0.039396,0.039396,0.383759,0.00057564
2021-08-17,AVAXUSDT,buy,0.0,0.048536,0.048536,0.383759,0.00057564
2021-08-17,CAKEUSDT,buy,0.0,0.047876,0.047876,0.383759,0.00057564
2021-08-17,DOTUSDT,buy,0.0,0.042454,0.042454,0.383759,0.00057564
2021-08-17,ETHUSDT,buy,0.0,0.04992,0.04992,0.383759,0.00057564
2021-08-17,KAVAUSDT,buy,0.0,0.037783,0.037783,0.383759,0.00057564
2021-08-17,ROSEUSDT,buy,0.0,0.040541,0.040541,0.383759,0.00057564
2021-08-17,TWTUSDT,buy,0.0,0.035937,0.035937,0.383759,0.00057564
2021-08-17,UNIUSDT,buy,0.0,0.041317,0.041317,0.383759,0.00057564
2021-08-31,AAVEUSDT,sell,0.039396,0.0,-0.039396,0.302685,0.00045403
2021-08-31,ADAUSDT,buy,0.0,0.030235,0.030235,0.302685,0.00045403
2021-08-31,ATOMUSDT,buy,0.0,0.034954,0.034954,0.302685,0.00045403
2021-08-31,DOTUSDT,sell,0.042454,0.0,-0.042454,0.302685,0.00045403
2021-08-31,FETUSDT,buy,0.0,0.035976,0.035976,0.302685,0.00045403
2021-08-31,ROSEUSDT,sell,0.040541,0.0,-0.040541,0.302685,0.00045403
2021-08-31,SUSHIUSDT,buy,0.0,0.037813,0.037813,0.302685,0.00045403
2021-08-31,UNIUSDT,sell,0.041317,0.0,-0.041317,0.302685,0.00045403
2021-09-14,ATOMUSDT,sell,0.034954,0.0,-0.034954,0.260131,0.0003902
2021-09-14,AVAXUSDT,sell,0.048536,0.016539,-0.031997,0.260131,0.0003902
2021-09-14,AXSUSDT,buy,0.0,0.035634,0.035634,0.260131,0.0003902
2021-09-14,CAKEUSDT,sell,0.047876,0.0,-0.047876,0.260131,0.0003902
2021-09-14,KAVAUSDT,sell,0.037783,0.0,-0.037783,0.260131,0.0003902
2021-09-14,SUSHIUSDT,sell,0.037813,0.0,-0.037813,0.260131,0.0003902
2021-09-14,XRPUSDT,buy,0.0,0.034074,0.034074,0.260131,0.0003902
2021-09-28,ADAUSDT,sell,0.030235,0.0,-0.030235,0.238315,0.00035747
2021-09-28,AVAXUSDT,sell,0.016539,0.0,-0.016539,0.238315,0.00035747
2021-09-28,AXSUSDT,sell,0.035634,0.0,-0.035634,0.238315,0.00035747
2021-09-28,ETHUSDT,sell,0.04992,0.0,-0.04992,0.238315,0.00035747
2021-09-28,FETUSDT,sell,0.035976,0.0,-0.035976,0.238315,0.00035747
2021-09-28,TWTUSDT,sell,0.035937,0.0,-0.035937,0.238315,0.00035747
2021-09-28,XRPUSDT,sell,0.034074,0.0,-0.034074,0.238315,0.00035747
2021-10-12,ADAUSDT,buy,0.0,0.048538,0.048538,0.124605,0.00018691
2021-10-12,TWTUSDT,buy,0.0,0.034206,0.034206,0.124605,0.00018691
2021-10-12,XRPUSDT,buy,0.0,0.041861,0.041861,0.124605,0.00018691
2021-10-26,ADAUSDT,sell,0.048538,0.0,-0.048538,0.532511,0.00079877
2021-10-26,ATOMUSDT,buy,0.0,0.047353,0.047353,0.532511,0.00079877
2021-10-26,AVAXUSDT,buy,0.0,0.055161,0.055161,0.532511,0.00079877
2021-10-26,DOTUSDT,buy,0.0,0.038739,0.038739,0.532511,0.00079877
2021-10-26,DUSKUSDT,buy,0.0,0.039127,0.039127,0.532511,0.00079877
2021-10-26,ETHUSDT,buy,0.0,0.05845,0.05845,0.532511,0.00079877
2021-10-26,LTCUSDT,buy,0.0,0.058423,0.058423,0.532511,0.00079877
2021-10-26,ROSEUSDT,buy,0.0,0.032932,0.032932,0.532511,0.00079877
2021-10-26,TRXUSDT,buy,0.0,0.077721,0.077721,0.532511,0.00079877
2021-10-26,TWTUSDT,sell,0.034206,0.0,-0.034206,0.532511,0.00079877
2021-10-26,XRPUSDT,sell,0.041861,0.0,-0.041861,0.532511,0.00079877
2021-11-09,ATOMUSDT,sell,0.047353,0.0,-0.047353,0.362957,0.00054444
2021-11-09,AXSUSDT,buy,0.0,0.039281,0.039281,0.362957,0.00054444
2021-11-09,DOGEUSDT,buy,0.0,0.034017,0.034017,0.362957,0.00054444
2021-11-09,DUSKUSDT,sell,0.039127,0.0,-0.039127,0.362957,0.00054444
2021-11-09,LINKUSDT,buy,0.0,0.045056,0.045056,0.362957,0.00054444
2021-11-09,ROSEUSDT,sell,0.032932,0.0,-0.032932,0.362957,0.00054444
2021-11-09,TRXUSDT,sell,0.077721,0.0,-0.077721,0.362957,0.00054444
2021-11-09,ZECUSDT,buy,0.0,0.04747,0.04747,0.362957,0.00054444
2021-11-23,DOGEUSDT,sell,0.034017,0.0,-0.034017,0.123193,0.00018479
2021-11-23,LINKUSDT,sell,0.045056,0.0,-0.045056,0.123193,0.00018479
2021-11-23,TRXUSDT,buy,0.0,0.04412,0.04412,0.123193,0.00018479
2021-12-07,DOTUSDT,sell,0.038739,0.0,-0.038739,0.141282,0.00021192
2021-12-07,LTCUSDT,sell,0.058423,0.0,-0.058423,0.141282,0.00021192
2021-12-07,TRXUSDT,sell,0.04412,0.0,-0.04412,0.141282,0.00021192
2021-12-21,AVAXUSDT,sell,0.055161,0.001638,-0.053523,0.495775,0.00074366
2021-12-21,AXSUSDT,sell,0.039281,0.0,-0.039281,0.495775,0.00074366
2021-12-21,ETHUSDT,sell,0.05845,0.002949,-0.055501,0.495775,0.00074366
2021-12-21,TUSDUSDT,buy,0.0,0.15,0.15,0.495775,0.00074366
2021-12-21,USDCUSDT,buy,0.0,0.15,0.15,0.495775,0.00074366
2021-12-21,ZECUSDT,sell,0.04747,0.0,-0.04747,0.495775,0.00074366
2022-01-04,AVAXUSDT,sell,0.001638,0.0,-0.001638,0.304587,0.00045688
2022-01-04,ETHUSDT,sell,0.002949,0.0,-0.002949,0.304587,0.00045688
2022-01-04,TUSDUSDT,sell,0.15,0.0,-0.15,0.304587,0.00045688
2022-01-04,USDCUSDT,sell,0.15,0.0,-0.15,0.304587,0.00045688
2023-01-17,ADAUSDT,buy,0.0,0.074353,0.074353,0.656297,0.00098445
2023-01-17,APEUSDT,buy,0.0,0.079692,0.079692,0.656297,0.00098445
2023-01-17,ATOMUSDT,buy,0.0,0.098717,0.098717,0.656297,0.00098445
2023-01-17,ETHUSDT,buy,0.0,0.112777,0.112777,0.656297,0.00098445
2023-01-17,LTCUSDT,buy,0.0,0.092638,0.092638,0.656297,0.00098445
2023-01-17,SFPUSDT,buy,0.0,0.080066,0.080066,0.656297,0.00098445
2023-01-17,ZECUSDT,buy,0.0,0.079363,0.079363,0.656297,0.00098445
2023-01-17,ZILUSDT,buy,0.0,0.038691,0.038691,0.656297,0.00098445
2023-01-31,AAVEUSDT,buy,0.0,0.049556,0.049556,0.749262,0.00112389
2023-01-31,APEUSDT,sell,0.079692,0.048339,-0.031354,0.749262,0.00112389
2023-01-31,ATOMUSDT,sell,0.098717,0.0,-0.098717,0.749262,0.00112389
2023-01-31,BCHUSDT,buy,0.0,0.077934,0.077934,0.749262,0.00112389
2023-01-31,DOTUSDT,buy,0.0,0.0568,0.0568,0.749262,0.00112389
2023-01-31,ETHUSDT,sell,0.112777,0.075125,-0.037652,0.749262,0.00112389
2023-01-31,LTCUSDT,sell,0.092638,0.0,-0.092638,0.749262,0.00112389
2023-01-31,SFPUSDT,sell,0.080066,0.0,-0.080066,0.749262,0.00112389
2023-01-31,SHIBUSDT,buy,0.0,0.066868,0.066868,0.749262,0.00112389
2023-01-31,SNXUSDT,buy,0.0,0.039624,0.039624,0.749262,0.00112389
2023-01-31,ZECUSDT,sell,0.079363,0.0,-0.079363,0.749262,0.00112389
2023-01-31,ZILUSDT,sell,0.038691,0.0,-0.038691,0.749262,0.00112389
2023-02-14,AAVEUSDT,sell,0.049556,0.0,-0.049556,0.43475,0.00065213
2023-02-14,APEUSDT,sell,0.048339,0.0,-0.048339,0.43475,0.00065213
2023-02-14,ATOMUSDT,buy,0.0,0.043149,0.043149,0.43475,0.00065213
2023-02-14,AVAXUSDT,buy,0.0,0.039692,0.039692,0.43475,0.00065213
2023-02-14,BCHUSDT,sell,0.077934,0.0,-0.077934,0.43475,0.00065213
2023-02-14,DOTUSDT,sell,0.0568,0.0,-0.0568,0.43475,0.00065213
2023-02-14,ETHUSDT,sell,0.075125,0.0,-0.075125,0.43475,0.00065213
2023-02-14,ZILUSDT,buy,0.0,0.044155,0.044155,0.43475,0.00065213
2023-02-28,ADAUSDT,sell,0.074353,0.0,-0.074353,0.263686,0.00039553
2023-02-28,ATOMUSDT,sell,0.043149,0.0,-0.043149,0.263686,0.00039553
2023-02-28,AVAXUSDT,sell,0.039692,0.0,-0.039692,0.263686,0.00039553
2023-02-28,SHIBUSDT,sell,0.066868,0.0,-0.066868,0.263686,0.00039553
2023-02-28,SNXUSDT,sell,0.039624,0.0,-0.039624,0.263686,0.00039553
2023-03-14,LINKUSDT,buy,0.0,0.054251,0.054251,0.173366,0.00026005
2023-03-14,RAYUSDT,buy,0.0,0.04335,0.04335,0.173366,0.00026005
2023-03-14,YFIUSDT,buy,0.0,0.03161,0.03161,0.173366,0.00026005
2023-03-14,ZILUSDT,sell,0.044155,0.0,-0.044155,0.173366,0.00026005
2023-03-28,BCHUSDT,buy,0.0,0.057608,0.057608,0.22953,0.00034429
2023-03-28,DUSKUSDT,buy,0.0,0.030953,0.030953,0.22953,0.00034429
2023-03-28,ETHUSDT,buy,0.0,0.061292,0.061292,0.22953,0.00034429
2023-03-28,RAYUSDT,sell,0.04335,0.0,-0.04335,0.22953,0.00034429
2023-03-28,XRPUSDT,buy,0.0,0.036327,0.036327,0.22953,0.00034429
2023-04-11,ADAUSDT,buy,0.0,0.058289,0.058289,0.273298,0.00040995
2023-04-11,BCHUSDT,sell,0.057608,0.0,-0.057608,0.273298,0.00040995
2023-04-11,DOGEUSDT,buy,0.0,0.041701,0.041701,0.273298,0.00040995
2023-04-11,DUSKUSDT,sell,0.030953,0.0,-0.030953,0.273298,0.00040995
2023-04-11,INJUSDT,buy,0.0,0.030409,0.030409,0.273298,0.00040995
2023-04-11,LTCUSDT,buy,0.0,0.054338,0.054338,0.273298,0.00040995
2023-04-25,ACHUSDT,buy,0.0,0.040478,0.040478,0.367207,0.00055081
2023-04-25,AVAXUSDT,buy,0.0,0.062883,0.062883,0.367207,0.00055081
2023-04-25,DOGEUSDT,sell,0.041701,0.0,-0.041701,0.367207,0.00055081
2023-04-25,DOTUSDT,buy,0.0,0.078928,0.078928,0.367207,0.00055081
2023-04-25,LTCUSDT,sell,0.054338,0.0,-0.054338,0.367207,0.00055081
2023-04-25,ROSEUSDT,buy,0.0,0.042786,0.042786,0.367207,0.00055081
2023-04-25,YFIUSDT,buy,0.03161,0.077701,0.046092,0.367207,0.00055081
2023-05-09,ACHUSDT,sell,0.040478,0.0,-0.040478,0.711237,0.00106686
2023-05-09,ADAUSDT,buy,0.058289,0.095452,0.037163,0.711237,0.00106686
2023-05-09,AVAXUSDT,sell,0.062883,0.0,-0.062883,0.711237,0.00106686
2023-05-09,DEXEUSDT,buy,0.0,0.068186,0.068186,0.711237,0.00106686
2023-05-09,DOGEUSDT,buy,0.0,0.092383,0.092383,0.711237,0.00106686
2023-05-09,DOTUSDT,sell,0.078928,0.0,-0.078928,0.711237,0.00106686
2023-05-09,ROSEUSDT,sell,0.042786,0.0,-0.042786,0.711237,0.00106686
2023-05-09,TRXUSDT,buy,0.0,0.15,0.15,0.711237,0.00106686
2023-05-09,XRPUSDT,buy,0.036327,0.097054,0.060727,0.711237,0.00106686
2023-05-09,YFIUSDT,sell,0.077701,0.0,-0.077701,0.711237,0.00106686
2023-05-23,ADAUSDT,sell,0.095452,0.01269,-0.082762,0.826282,0.00123942
2023-05-23,DEXEUSDT,sell,0.068186,0.0,-0.068186,0.826282,0.00123942
2023-05-23,DOGEUSDT,sell,0.092383,0.0,-0.092383,0.826282,0.00123942
2023-05-23,ETHUSDT,sell,0.061292,0.012368,-0.048924,0.826282,0.00123942
2023-05-23,LINKUSDT,sell,0.054251,0.0,-0.054251,0.826282,0.00123942
2023-05-23,TRXUSDT,sell,0.15,0.015553,-0.134447,0.826282,0.00123942
2023-05-23,TUSDUSDT,buy,0.0,0.11126,0.11126,0.826282,0.00123942
2023-05-23,USDCUSDT,buy,0.0,0.15,0.15,0.826282,0.00123942
2023-05-23,XRPUSDT,sell,0.097054,0.012985,-0.084069,0.826282,0.00123942
2023-06-06,TUSDUSDT,sell,0.11126,0.0,-0.11126,0.11126,0.00016689
2023-06-20,INJUSDT,sell,0.030409,0.0,-0.030409,0.030409,4.561e-05
2023-07-18,AAVEUSDT,buy,0.0,0.036068,0.036068,0.556128,0.00083419
2023-07-18,ETCUSDT,buy,0.0,0.042796,0.042796,0.556128,0.00083419
2023-07-18,ETHUSDT,buy,0.012368,0.089025,0.076657,0.556128,0.00083419
2023-07-18,INJUSDT,buy,0.0,0.046612,0.046612,0.556128,0.00083419
2023-07-18,LTCUSDT,buy,0.0,0.033249,0.033249,0.556128,0.00083419
2023-07-18,TRXUSDT,buy,0.015553,0.127078,0.111525,0.556128,0.00083419
2023-07-18,USDCUSDT,sell,0.15,0.0,-0.15,0.556128,0.00083419
2023-07-18,YFIUSDT,buy,0.0,0.059221,0.059221,0.556128,0.00083419
2023-08-01,AAVEUSDT,sell,0.036068,0.0,-0.036068,0.451724,0.00067759
2023-08-01,BCHUSDT,buy,0.0,0.076627,0.076627,0.451724,0.00067759
2023-08-01,DOGEUSDT,buy,0.0,0.062013,0.062013,0.451724,0.00067759
2023-08-01,ETCUSDT,sell,0.042796,0.0,-0.042796,0.451724,0.00067759
2023-08-01,LINKUSDT,buy,0.0,0.0384,0.0384,0.451724,0.00067759
2023-08-01,LTCUSDT,sell,0.033249,0.0,-0.033249,0.451724,0.00067759
2023-08-01,SNXUSDT,buy,0.0,0.036586,0.036586,0.451724,0.00067759
2023-08-01,UNIUSDT,buy,0.0,0.066763,0.066763,0.451724,0.00067759
2023-08-01,YFIUSDT,sell,0.059221,0.0,-0.059221,0.451724,0.00067759
2023-08-15,BCHUSDT,sell,0.076627,0.010674,-0.065953,0.62123,0.00093185
2023-08-15,DOGEUSDT,sell,0.062013,0.009122,-0.052891,0.62123,0.00093185
2023-08-15,ETHUSDT,sell,0.089025,0.0,-0.089025,0.62123,0.00093185
2023-08-15,INJUSDT,sell,0.046612,0.0,-0.046612,0.62123,0.00093185
2023-08-15,LINKUSDT,sell,0.0384,0.005645,-0.032755,0.62123,0.00093185
2023-08-15,TRXUSDT,sell,0.127078,0.0,-0.127078,0.62123,0.00093185
2023-08-15,UNIUSDT,sell,0.066763,0.009846,-0.056917,0.62123,0.00093185
2023-08-15,USDCUSDT,buy,0.0,0.15,0.15,0.62123,0.00093185
2023-08-29,ADAUSDT,sell,0.01269,0.0,-0.01269,0.247549,0.00037132
2023-08-29,BCHUSDT,sell,0.010674,0.0,-0.010674,0.247549,0.00037132
2023-08-29,DOGEUSDT,sell,0.009122,0.0,-0.009122,0.247549,0.00037132
2023-08-29,LINKUSDT,sell,0.005645,0.0,-0.005645,0.247549,0.00037132
2023-08-29,SNXUSDT,sell,0.036586,0.0,-0.036586,0.247549,0.00037132
2023-08-29,UNIUSDT,sell,0.009846,0.0,-0.009846,0.247549,0.00037132
2023-08-29,USDCUSDT,sell,0.15,0.0,-0.15,0.247549,0.00037132
2023-08-29,XRPUSDT,sell,0.012985,0.0,-0.012985,0.247549,0.00037132
2023-10-24,FDUSDUSDT,buy,0.0,0.15,0.15,0.15,0.000225
2023-11-07,ADAUSDT,buy,0.0,0.086725,0.086725,0.846787,0.00127018
2023-11-07,AXSUSDT,buy,0.0,0.061986,0.061986,0.846787,0.00127018
2023-11-07,ETHUSDT,buy,0.0,0.117295,0.117295,0.846787,0.00127018
2023-11-07,FDUSDUSDT,sell,0.15,0.0,-0.15,0.846787,0.00127018
2023-11-07,FETUSDT,buy,0.0,0.044192,0.044192,0.846787,0.00127018
